education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,work_work,nowork_nowork
udd3,74,5880,0.2161564626,0.7838435374,0.1341836735,0.0295918367,0.0180272109,0.0343537415,0.1960867716,0.7445767758
udd3,75,5681,0.196444288,0.803555712,0.1249779968,0.0308044358,0.0124977997,0.0281640556,0.1812662619,0.7718993929
udd3,76,5187,0.1733179102,0.8266820898,0.1179872759,0.023713129,0.010989011,0.0206284943,0.1597821153,0.7911938266
udd3,77,4611,0.1559314682,0.8440685318,0.1084363479,0.0223378877,0.0095423986,0.0156148341,0.1416386663,0.8089945722
udd3,78,4006,0.143534698,0.856465302,0.1055916126,0.0167249126,0.0067398902,0.0144782826,0.1275769346,0.8308933373
udd3,79,3348,0.1296296296,0.8703703704,0.0985663082,0.0128434886,0.006869773,0.0113500597,0.1158768592,0.8436527153
udd3,80,2785,0.1055655296,0.8944344704,0.0807899461,0.0104129264,0.0028725314,0.0114901257,0.0987341772,0.8662447257
udd3,81,2244,0.0811051693,0.9188948307,0.0646167558,0.006684492,0.0008912656,0.008912656,0.0739549839,0.8922829582
udd3,82,1484,0.0781671159,0.9218328841,0.0592991914,0.0074123989,0.0006738544,0.0107816712,0.0661213361,0.9066121336
udd3,83,933,0.0589496249,0.9410503751,0.0493033226,0.0042872454,0.0,0.0053590568,0.0532030402,0.9272529859
udd3,84,449,0.0534521158,0.9465478842,0.0512249443,0.0,0.0,0.0022271715,0.0426966292,0.9325842697
