education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd3,50000,82,hours_3,0.007732444796865141,0.0006735092950647384,0.0069343209487411845,0.009184481393507521,10,3.8973573207855225,2.49468731880188,20,5,5,1484,0.0006738544,0.0006736273455746362,Uses total age-cell frequency,0.9998247539820446
udd3,100000,84,hours_4,0.2007669712384818,0.001844513038967135,0.19816825123782514,0.20368303571428573,10,7.17368974685669,2.49468731880188,20,5,5,449,0.0022271715,0.0022246899671937914,Uses total age-cell frequency,0.8291101529503416
udd3,100000,81,hours_3,0.005994411158112739,0.0004445841110264585,0.005130192474487442,0.006633162115221167,10,7.17368974685669,2.49468731880188,20,5,5,2244,0.0008912656,0.0006299390393044908,Uses total age-cell frequency,0.7057573563266046
udd3,100000,46,hours_3,0.06953508979423542,0.001132224531443197,0.06800552759257204,0.07141559332983405,10,7.17368974685669,2.49468731880188,20,5,5,14897,0.049003155,0.0017686917512229753,Uses total age-cell frequency,0.6401480250361952
udd3,100000,44,hours_3,0.07126850267461053,0.0011161325858415026,0.06942404795912209,0.07285814960233565,10,7.17368974685669,2.49468731880188,20,5,5,15429,0.0502300862,0.0017584186297746162,Uses total age-cell frequency,0.6347365564391012
udd3,100000,44,hours_2,0.05891197499703388,0.0008972569663583094,0.05760616827886096,0.06020871280353423,10,7.17368974685669,2.49468731880188,20,5,5,15429,0.0361008491,0.001501777584237832,Uses total age-cell frequency,0.597463283362081
udd3,250000,46,hours_2,0.05684780634337239,0.0005923809504405448,0.05599193141704488,0.05778421842959327,10,17.57396912574768,2.49468731880188,20,5,5,14897,0.0323555078,0.0014497149438678612,Uses total age-cell frequency,0.4086189170817703
udd3,250000,82,hours_3,0.007675382060913753,0.00026772748005978836,0.0073295042130842305,0.00821724591514921,10,17.57396912574768,2.49468731880188,20,5,5,1484,0.0006738544,0.0006736273455746362,Uses total age-cell frequency,0.3974415258207846
udd3,250000,43,hours_1,0.04654646732394108,0.0004911303899140782,0.04567587019368016,0.047211387671398125,10,17.57396912574768,2.49468731880188,20,5,5,15978,0.0276630367,0.0012974693755949454,Uses total age-cell frequency,0.3785294660144667
udd3,250000,49,hours_1,0.042076520974319506,0.0004927589308337783,0.04134021998888289,0.04283709004754718,10,17.57396912574768,2.49468731880188,20,5,5,14114,0.0250106277,0.0013144291446628978,Uses total age-cell frequency,0.3748843616520331
udd3,250000,39,hours_4,0.7256458151826888,0.0011716485853034,0.724069657922687,0.7279577995478523,10,17.57396912574768,2.49468731880188,20,5,5,17853,0.7704587464,0.0031473820738815096,Uses total age-cell frequency,0.37226131362515646
udd3,500000,42,hours_1,0.04756261868783418,0.0004339555299366186,0.047009791614361036,0.048469572203253666,10,35.38734409809113,2.49468731880188,20,5,5,16541,0.0266005683,0.0012511521337136469,Uses total age-cell frequency,0.3468447347394595
udd3,500000,84,hours_4,0.20011524811112547,0.0007689484113268084,0.19914572069347378,0.20164429779030105,10,35.38734409809113,2.49468731880188,20,5,5,449,0.0022271715,0.0022246899671937914,Uses total age-cell frequency,0.34564295369963605
udd3,500000,41,hours_1,0.04875506533261665,0.0003957695093750839,0.0479716942318769,0.04926813214158141,10,35.38734409809113,2.49468731880188,20,5,5,16899,0.0279306468,0.0012675310858176352,Uses total age-cell frequency,0.31223653116151256
udd3,500000,52,hours_1,0.04214383943581247,0.0004902541998923736,0.04119323991590796,0.042816809198412374,10,35.38734409809113,2.49468731880188,20,5,5,11941,0.0309019345,0.0015836395815041586,Uses total age-cell frequency,0.30957435367125935
udd3,500000,38,hours_1,0.052853312845601665,0.000445257686423292,0.05207817936704119,0.05341754504044326,10,35.38734409809113,2.49468731880188,20,5,5,14733,0.0331907962,0.0014758208068968875,Uses total age-cell frequency,0.3017017271625994
