education,age,n_data,moment,data_value,data_se,denominator_note
udd3,32,3552,hours_0,0.1880630631,0.0065565657939612,Uses total age-cell frequency
udd3,33,4342,hours_0,0.1909258406,0.0059646039456344516,Uses total age-cell frequency
udd3,34,4950,hours_0,0.1892929293,0.005567966029027937,Uses total age-cell frequency
udd3,35,5483,hours_0,0.1900419478,0.005298426049181691,Uses total age-cell frequency
udd3,36,8619,hours_0,0.1413156979,0.0037521787989514936,Uses total age-cell frequency
udd3,37,11739,hours_0,0.117727234,0.002974571110596163,Uses total age-cell frequency
udd3,38,14733,hours_0,0.1023552569,0.002497248309639693,Uses total age-cell frequency
udd3,39,17853,hours_0,0.0943258836,0.002187488691770683,Uses total age-cell frequency
udd3,40,17484,hours_0,0.0909402883,0.0021744727514879728,Uses total age-cell frequency
udd3,41,16899,hours_0,0.0885259483,0.0021851283195683966,Uses total age-cell frequency
udd3,42,16541,hours_0,0.0854845535,0.002173994623162798,Uses total age-cell frequency
udd3,43,15978,hours_0,0.0802353236,0.0021491165028498537,Uses total age-cell frequency
udd3,44,15429,hours_0,0.0794607557,0.002177351826489313,Uses total age-cell frequency
udd3,45,15154,hours_0,0.0783951432,0.0021835005960656627,Uses total age-cell frequency
udd3,46,14897,hours_0,0.0789420689,0.00220926756436602,Uses total age-cell frequency
udd3,47,14703,hours_0,0.0784873835,0.002217928746755283,Uses total age-cell frequency
udd3,48,14631,hours_0,0.0744993507,0.0021708389365766093,Uses total age-cell frequency
udd3,49,14114,hours_0,0.0773699872,0.00224892511727897,Uses total age-cell frequency
udd3,50,13301,hours_0,0.0777385159,0.0023216834835641798,Uses total age-cell frequency
udd3,51,12629,hours_0,0.0802913928,0.002418104914097582,Uses total age-cell frequency
udd3,52,11941,hours_0,0.0853362365,0.0025566844533539816,Uses total age-cell frequency
udd3,53,11340,hours_0,0.0873897707,0.0026519567611246802,Uses total age-cell frequency
udd3,54,11158,hours_0,0.0904283922,0.0027150490115247362,Uses total age-cell frequency
udd3,55,10794,hours_0,0.0926440615,0.0027906567984540575,Uses total age-cell frequency
udd3,56,10445,hours_0,0.0979415989,0.0029083502057988607,Uses total age-cell frequency
udd3,57,9859,hours_0,0.1019373162,0.0030472177530795454,Uses total age-cell frequency
udd3,58,9125,hours_0,0.1071780822,0.0032383141376877717,Uses total age-cell frequency
udd3,59,8551,hours_0,0.1174131681,0.0034811975710490038,Uses total age-cell frequency
udd3,60,8036,hours_0,0.1297909408,0.003748987792481402,Uses total age-cell frequency
udd3,61,7489,hours_0,0.145546802,0.004075055783726453,Uses total age-cell frequency
udd3,62,7287,hours_0,0.1605599012,0.004300698691989683,Uses total age-cell frequency
udd3,63,7168,hours_0,0.1837332589,0.004574155679219102,Uses total age-cell frequency
udd3,64,7025,hours_0,0.2160854093,0.004910479826489065,Uses total age-cell frequency
udd3,65,6992,hours_0,0.2663043478,0.0052862340944601184,Uses total age-cell frequency
udd3,66,6812,hours_0,0.3376394598,0.005729760967412371,Uses total age-cell frequency
udd3,67,6754,hours_0,0.4336689369,0.00603022922492882,Uses total age-cell frequency
udd3,68,6615,hours_0,0.5124716553,0.006145679895486713,Uses total age-cell frequency
udd3,69,6435,hours_0,0.5822843823,0.006147997070315945,Uses total age-cell frequency
udd3,70,6337,hours_0,0.6307400978,0.0060624677614456775,Uses total age-cell frequency
udd3,71,6224,hours_0,0.6810732648,0.005907552472641256,Uses total age-cell frequency
