education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
udd2,58,12185,0.86056627,0.13943373,0.0397209684,0.0357816988,0.0517849815,0.7332786213,7.4470043782,0.8392575039,0.1250987362,29.848849264,6.1013486168,0.0034621973,1739.9198932,3.6213767e-06,2.6393140989,
udd2,59,11532,0.8474679154,0.1525320846,0.0407561568,0.0378078391,0.0520291363,0.7168747832,8.3156957012,0.8322083949,0.132777895,30.61569793,6.0147255177,0.0034430826,1732.50793,3.7230716e-06,2.775679356,
udd2,60,11168,0.8347063037,0.1652936963,0.041726361,0.0386819484,0.0545308023,0.699767192,8.5062557903,0.8187140963,0.1438356164,31.200777498,5.817264934,0.0033393283,1725.0268183,3.0015494e-06,2.4315713157,
udd2,61,10557,0.8140570238,0.1859429762,0.0483091787,0.0403523728,0.0602443876,0.6651510846,8.9254064769,0.8029364533,0.1534755678,31.748871263,5.6717963813,0.0033039605,1700.6748895,2.9343515e-06,2.5140663361,
udd2,62,10144,0.7891364353,0.2108635647,0.0522476341,0.0424881703,0.0660488959,0.628351735,8.7818035923,0.7736187515,0.1783066252,32.170787663,5.550438219,0.0032854918,1678.6196127,2.8791318e-06,2.7521158888,
udd2,63,9703,0.751932392,0.248067608,0.0594661445,0.0518396372,0.0706997836,0.5699268268,8.4631543774,0.7342806841,0.2054828974,32.824855724,5.4152134757,0.0032935776,1633.8130482,2.9761496e-06,2.8898882566,
udd2,64,9220,0.68329718,0.31670282,0.0710412148,0.0503253796,0.0673535792,0.4945770065,9.9930777297,0.6727345203,0.2471432368,33.099079972,5.2626154984,0.003306974,1584.6111111,3.2597547e-06,3.0230964405,
udd2,65,8973,0.6166276608,0.3833723392,0.082692522,0.0573944054,0.0726624317,0.4038783016,9.8566477416,0.6052128821,0.3176855895,33.307591049,5.0076209295,0.0033352189,1500.9849991,3.4996845e-06,3.0859069025,
udd2,66,8725,0.5220630372,0.4779369628,0.0967335244,0.0528366762,0.0649856734,0.3075071633,10.861038434,0.5141449683,0.3876143561,33.324128565,4.6563202924,0.0033098741,1403.194292,3.4835702e-06,3.3984984833,
udd2,67,8583,0.4249097052,0.5750902948,0.1138296633,0.0539438425,0.0593032739,0.1978329256,9.0990261839,0.4164367649,0.4883113112,33.362390266,4.1376167108,0.0034497729,1228.242391,5.5256863e-06,4.0269469296,2114002.8804
udd2,68,8433,0.3348748962,0.6651251038,0.1162101269,0.0462468872,0.0425708526,0.1298470295,9.4992828202,0.3208160852,0.5817563572,32.980634921,3.5917634545,0.0033465274,1092.315864,4.7838631e-06,3.6157434073,
udd2,69,8358,0.2818856186,0.7181143814,0.1117492223,0.0429528595,0.0337401292,0.0934434075,9.3378159895,0.2636808542,0.6589055317,32.703912413,3.2391236919,0.0032824973,998.8327674,4.5159448e-06,3.2941194306,
