education,n_individuals,seed,age,sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,moment,sim_value
udd1,10000,505,43,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8238310708898944
udd1,10000,505,44,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8300100704934542
udd1,10000,505,45,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8315184513006655
udd1,10000,505,46,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8339900980094979
udd1,10000,505,47,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8425691419309087
udd1,10000,505,48,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8446473871131406
udd1,10000,505,49,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8426142726254708
udd1,10000,505,50,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8402692778457772
udd1,10000,505,51,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8407324058919804
udd1,10000,505,52,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.841657265921444
udd1,10000,505,53,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.839917695473251
udd1,10000,505,54,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8344514397770668
udd1,10000,505,55,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8225906735751295
udd1,10000,505,56,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.8144716293597085
udd1,10000,505,57,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.807177233730906
udd1,10000,505,58,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.7873817034700316
udd1,10000,505,59,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.7756247352816603
udd1,10000,505,60,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.7593480345158198
udd1,10000,505,61,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.7342139175257731
udd1,10000,505,62,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.7069732133174276
udd1,10000,505,63,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.672986301369863
udd1,10000,505,64,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.6301627726719079
udd1,10000,505,65,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.5702108568864962
udd1,10000,505,66,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.4503176043557169
udd1,10000,505,67,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.34430379746835443
udd1,10000,505,68,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.2931741013932795
udd1,10000,505,69,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.25522014079465455
udd1,10000,505,70,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.22524271844660193
udd1,10000,505,71,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.1987593052109181
udd1,10000,505,72,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.16546031746031745
udd1,10000,505,73,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.1488694288328323
udd1,10000,505,74,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.13093640998121814
udd1,10000,505,75,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.10760282509347736
udd1,10000,505,76,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.088146334437563
udd1,10000,505,77,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.08155922038980509
udd1,10000,505,78,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.06920415224913495
udd1,10000,505,79,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.059590623968306375
udd1,10000,505,80,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.05556529360210342
udd1,10000,505,81,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.049189491335941866
udd1,10000,505,82,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.043010752688172046
udd1,10000,505,83,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.06405846947549441
udd1,10000,505,84,1.5544734001159668,2.595287322998047,20,5,5,prob_work,0.7876438806671365
udd1,10000,606,30,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.6841
udd1,10000,606,31,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.698
udd1,10000,606,32,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.7224
udd1,10000,606,33,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.7347734773477348
udd1,10000,606,34,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.7488748874887489
udd1,10000,606,35,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.76375275055011
udd1,10000,606,36,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.7765435805063544
udd1,10000,606,37,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.7810248198558847
udd1,10000,606,38,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.7902902902902903
udd1,10000,606,39,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.8027040560841262
udd1,10000,606,40,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.8006814310051107
udd1,10000,606,41,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.8054135338345865
udd1,10000,606,42,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.8113586193056391
udd1,10000,606,43,1.8121047019958496,2.595287322998047,20,5,5,prob_work,0.8184556682397831
